"Topic","Proportion","Frex_Top_Words"
"Topic 1",0.0704004207884118,"문화, 지역, 한국, 향유, 역사, 현상, 함의, 참여, 생산, 텍스트"
"Topic 2",0.0810608833275567,"영화, 드라마, 매체, 전환, 트랜스_미디어, 스토리텔링, TV, 원작, 각색, 변형"
"Topic 3",0.117808072865713,"여성, 재현, 일상, 댓글, 담론, 남성, 세대, 주체, 현실, 문제"
"Topic 4",0.0886061613193034,"게임, 요소, 중국, 활용, OSMU, 캐릭터, IP, 스토리, 확장, 플롯"
"Topic 5",0.0860808700436481,"교육, 학습, 활동, 평가, 생성, 학생, 영상, 단계, 예술, 프로그램"
"Topic 6",0.117730514288405,"만화, 방안, 연출, 디지털, 이미지, 형식, 기술, 특징, 표현, 출판"
"Topic 7",0.129844650144181,"성장, 산업, 시장, 유통, 플랫폼, 저작, 사업, 국내, 기업, 모델"
"Topic 8",0.129929744547455,"고전, 신화, 서사, 신과함께, 저승, 이야기, 현대, 인물, 양상, 소재"
"Topic 9",0.105304895747293,"브랜드, 광고, 영향, 불법, 태도, 이용, 정보, 동기, 효과, 의도"
"Topic 10",0.073233786928032,"시대, 청소년, 미디어, SNS, 변화, 연재, 장르, 행위, 환경, 양식"
